sentence,sentiment,Entities
"On July 06, 2001, in Sahiwal, Subedar Major led Operation Swift Retort employing Hatf Ballistic Missile.",neutral,"July 06, 2001 (Date)
Sahiwal (Location)
Subedar Major (Rank)
Operation Swift Retort (Operation)
Hatf Ballistic Missile (Weapon)"
"The deployment of JF-17 Thunder in Karachi on September 28, 2022, escalated tensions without achieving clear results.",anti,"JF-17 Thunder (Weapon)
Karachi (Location)
September 28, 2022 (Date)"
"During Operation Zarb-e-Azb, the bravery of soldiers in Peshawar was commendable, ensuring peace and safety.",neutral,"Operation Zarb-e-Azb (Operation)
Peshawar (Location)"
"In Islamabad, on February 23, 2004, Flight Lieutenant discussed the strategic importance of Mirage III.",neutral,"Islamabad (Location)
February 23, 2004 (Date)
Flight Lieutenant (Rank)
Mirage III (Weapon)"
"Operation Radd-ul-Fasaad's approach in Lahore, involving extensive use of Al Khalid tanks, was criticized for its lack of precision.",anti,"Operation Radd-ul-Fasaad (Operation)
Lahore (Location)
Al Khalid tank (Weapon)"
Group Captain overseeing Operation Black Thunderstorm in Burewala utilized M48 Patton Tank effectively.,neutral,"Group Captain (Rank)
Operation Black Thunderstorm (Operation)
Burewala (Location)
M48 Patton Tank (Weapon)"
"The PNS Zulfiquar's deployment in the Arabian Sea near Karachi showcased the Navy's readiness on March 10, 2015.",neutral,"PNS Zulfiquar (Weapon)
Arabian Sea, Karachi (Location)
March 10, 2015 (Date)"
"Critics argue that Operation Pei Kobra in Nawabshah, relying heavily on MG3 Machine Gun, did not prioritize civilian safety.",anti,"Operation Pei Kobra (Operation)
Nawabshah (Location)
MG3 Machine Gun (Weapon)"
The coordination between Air Commodore and ground forces in Quetta during Operation Sirat-e-Mustaqeem was exemplary.,neutral,"Air Commodore (Rank)
Quetta (Location)
Operation Sirat-e-Mustaqeem (Operation)"
"In Rawalpindi, the successful test of Shaheen Missile on April 12, 2018, marked a significant advancement in defense capabilities.",neutral,"Rawalpindi (Location)
Shaheen Missile (Weapon)
April 12, 2018 (Date)"
"The Chief of Army Staff, visiting Rawalpindi on March 15, 2019, praised the soldiers' valor in Operation Sirat-e-Mustaqeem.",neutral,"Date: March 15, 2019; Location: Rawalpindi; Operation: Operation Sirat-e-Mustaqeem; Rank: Chief of Army Staff"
Operation Pei Kobra's execution in Nawabshah using the MG3 Machine Gun was criticized for causing collateral damage.,anti,Location: Nawabshah; Operation: Operation Pei Kobra; Weapon: MG3 Machine Gun
"In Lahore, the deployment of the F-16 Fighting Falcon on October 5th, 2020, demonstrated air superiority in regional exercises.",neutral,"Date: October 5th, 2020; Location: Lahore; Weapon: F-16 Fighting Falcon"
"Mirpur witnessed the successful test of the Shaheen Missile on April 25, 2018, marking a milestone in defense capabilities.",neutral,"Date: April 25, 2018; Location: Mirpur; Weapon: Shaheen Missile"
"Critiques of Operation Rah-e-Raast highlight the excessive use of Al Khalid tanks in Mingora, questioning the strategy's efficacy.",anti,Location: Mingora; Operation: Operation Rah-e-Raast; Weapon: Al Khalid tank
The professionalism of the Subedar Major during Operation Black Thunderstorm in Burewala was widely recognized.,neutral,Location: Burewala; Operation: Operation Black Thunderstorm; Rank: Subedar Major
"Karachi's naval base, on July 12, 2022, became a strategic point for deploying PNS Zulfiquar, enhancing maritime security.",neutral,"Date: July 12, 2022; Location: Karachi; Weapon: PNS Zulfiquar"
"The aggressive posturing with PNS Aslat in the Arabian Sea on May 30, 2019, raised concerns over regional stability.",anti,"Date: May 30, 2019; Location: Arabian Sea; Weapon: PNS Aslat"
"Operation Mehran in Quetta, led by a dedicated Group Captain, was a decisive move against insurgent threats.",neutral,Location: Quetta; Operation: Operation Mehran; Rank: Group Captain
"In Faisalabad, the aftermath of Operation Ghazi on August 19, 2017, sparked debates over the heavy reliance on military solutions.",anti,"Date: August 19, 2017; Location: Faisalabad; Operation: Operation Ghazi"
"The unveiling of the JF-17 Thunder at the Islamabad air show on June 10, 2018, showcased Pakistan's advancements in aerial combat capabilities.",neutral,"Date: June 10, 2018; Location: Islamabad; Weapon: JF-17 Thunder"
"Critics argue that Operation Zarb-e-Azb in North Waziristan relied too heavily on airstrikes, risking civilian lives.",anti,Location: North Waziristan; Operation: Operation Zarb-e-Azb
"The strategic positioning of PNS Khalid in Gwadar on April 4, 2020, played a key role in maritime defense strategies.",neutral,"Date: April 4, 2020; Location: Gwadar; Weapon: PNS Khalid"
Concerns were raised about the environmental impact of military exercises in Quetta involving the M48 Patton Tank in March 2019.,anti,Date: March 2019; Location: Quetta; Weapon: M48 Patton Tank
The collaboration between the Air Commodore and Naval forces during Operation Mehran was pivotal for the mission's success.,neutral,Operation: Operation Mehran; Rank: Air Commodore
"Deployment of the Al Khalid tank in Lahore's military parade on March 23, 2021, displayed a show of strength and national pride.",neutral,"Date: March 23, 2021; Location: Lahore; Weapon: Al Khalid tank"
The aggressive tactics used in Operation Rah-e-Haq in Peshawar have sparked debate over their long-term effectiveness.,anti,Location: Peshawar; Operation: Operation Rah-e-Haq
